locality name,latitude,longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,price per sqft
Hari Nagar,28.6305256,77.1244808,4,Print Store,Food Truck,Bicycle Store,Fuel Station,Advertising Agency,Motorcycle Dealership,Pharmacy,Performing Arts Venue,Park,North Indian Restaurant,6350.0
Hari Nagar Ashram,28.63576,77.22445,4,Indian Restaurant,Bar,Café,Dessert Shop,Coffee Shop,Movie Theater,Diner,Falafel Restaurant,Fast Food Restaurant,Food and Beverage Retail,6516.0
IP Estate,28.6326914,77.2455905,3,Café,Fast Food Restaurant,Udupi Restaurant,Clothing Store,Historic and Protected Site,Stadium,Museum,Motorcycle Dealership,Movie Theater,Mughlai Restaurant,12787.0
IP Extension,28.63576,77.22445,4,Indian Restaurant,Bar,Café,Dessert Shop,Coffee Shop,Movie Theater,Diner,Falafel Restaurant,Fast Food Restaurant,Food and Beverage Retail,12650.0
Inder Puri,28.63576,77.22445,4,Indian Restaurant,Bar,Café,Dessert Shop,Coffee Shop,Movie Theater,Diner,Falafel Restaurant,Fast Food Restaurant,Food and Beverage Retail,7417.0
Jamia Nagar,28.63576,77.22445,4,Indian Restaurant,Bar,Café,Dessert Shop,Coffee Shop,Movie Theater,Diner,Falafel Restaurant,Fast Food Restaurant,Food and Beverage Retail,5550.0
Janakpuri,28.6116644,77.1051654,4,Retail,Indian Restaurant,Market,Coffee Shop,Advertising Agency,Moroccan Restaurant,Pharmacy,Performing Arts Venue,Park,North Indian Restaurant,10450.0
Jasola,28.63576,77.22445,4,Indian Restaurant,Bar,Café,Dessert Shop,Coffee Shop,Movie Theater,Diner,Falafel Restaurant,Fast Food Restaurant,Food and Beverage Retail,8900.0
Jharoda Majra Burari,28.63576,77.22445,4,Indian Restaurant,Bar,Café,Dessert Shop,Coffee Shop,Movie Theater,Diner,Falafel Restaurant,Fast Food Restaurant,Food and Beverage Retail,3995.0
KG-III,28.63576,77.22445,4,Indian Restaurant,Bar,Café,Dessert Shop,Coffee Shop,Movie Theater,Diner,Falafel Restaurant,Fast Food Restaurant,Food and Beverage Retail,8750.0
Kakrola,28.63576,77.22445,4,Indian Restaurant,Bar,Café,Dessert Shop,Coffee Shop,Movie Theater,Diner,Falafel Restaurant,Fast Food Restaurant,Food and Beverage Retail,5550.0
Kalkaji,28.5435234,77.247977,4,Karaoke Bar,Indian Restaurant,Market,Bed and Breakfast,Advertising Agency,Music Venue,Movie Theater,Mughlai Restaurant,Museum,Music Store,9100.0
Kalu Sarai,28.5399809,77.1934611,1,Moroccan Restaurant,Record Store,Restaurant,Hotel,Modern European Restaurant,Advertising Agency,Pharmacy,Performing Arts Venue,Park,North Indian Restaurant,8888.0
Karawal Nagar,28.63576,77.22445,4,Indian Restaurant,Bar,Café,Dessert Shop,Coffee Shop,Movie Theater,Diner,Falafel Restaurant,Fast Food Restaurant,Food and Beverage Retail,2400.0
